Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Brand,PriceinAUS,Subtitle Metric,Acceleration Metric,Range Metric,TopSpeed Metric,Efficiency Metric,FastChargeSpeed Metric,PriceinAUS Metric
Volkswagen ID.4 Pure Performance,52.0,9.0,160.0,285.0,182.0,410.0,Rear Wheel Drive,5,38450.0,36030.0,Volkswagen,67376.1,1,4,2,1,3,2,5
Audi e-tron GT quattro,85.0,4.1,245.0,420.0,202.0,840.0,All Wheel Drive,4,99800.0,79900.0,Audi,149413.0,2,5,2,3,3,3,4
Volvo C40 Recharge,75.0,4.7,180.0,340.0,221.0,440.0,All Wheel Drive,5,62050.0,57400.0,Volvo,107338.0,2,5,2,1,2,2,4
Porsche Taycan 4S Cross Turismo,83.7,4.1,240.0,405.0,207.0,850.0,All Wheel Drive,4,111842.0,87820.0,Porsche,164223.40000000002,2,5,2,3,3,4,3
Porsche Taycan Turbo Cross Turismo,83.7,3.3,250.0,385.0,217.0,800.0,All Wheel Drive,4,154444.0,116950.0,Porsche,218696.5,2,5,2,3,2,3,3
Porsche Taycan Turbo S Cross Turismo,83.7,2.9,250.0,380.0,220.0,790.0,All Wheel Drive,4,187746.0,139910.0,Porsche,261631.7,2,5,2,3,2,3,2
Kia EV6 GT,77.4,3.5,260.0,395.0,196.0,920.0,All Wheel Drive,5,65990.0,58295.0,Kia,109011.65000000001,2,5,2,3,3,4,4
BMW iX xDrive40,71.0,6.1,200.0,350.0,203.0,470.0,All Wheel Drive,5,77300.0,69905.0,BMW,130722.35,2,5,2,2,3,2,4
BMW iX xDrive50,105.2,4.6,200.0,505.0,208.0,620.0,All Wheel Drive,5,98000.0,91905.0,BMW,171862.35,3,5,3,2,3,3,3
MG MG5 Electric,57.0,8.3,180.0,340.0,168.0,440.0,Front Wheel Drive,5,35000.0,,MG,,2,4,2,1,4,2,
MG Marvel R Performance,65.0,4.9,200.0,330.0,197.0,380.0,All Wheel Drive,5,50000.0,,MG,,2,5,2,2,3,2,
Hyundai IONIQ 5 Standard Range 2WD,58.0,8.5,185.0,310.0,187.0,720.0,Rear Wheel Drive,5,41900.0,36995.0,Hyundai,69180.65000000001,2,4,2,2,3,3,5
Hyundai IONIQ 5 Standard Range AWD,58.0,6.1,185.0,305.0,190.0,710.0,All Wheel Drive,5,45700.0,,Hyundai,,2,5,2,2,3,3,
Hyundai IONIQ 5 Long Range 2WD,72.6,7.4,185.0,385.0,189.0,890.0,Rear Wheel Drive,5,45100.0,41945.0,Hyundai,78437.15000000001,2,4,2,2,3,4,5
Hyundai IONIQ 5 Long Range AWD,72.6,5.2,185.0,375.0,194.0,870.0,All Wheel Drive,5,48900.0,45145.0,Hyundai,84421.15000000001,2,5,2,2,3,4,5
Kia EV6 Standard Range 2WD,58.0,8.5,185.0,320.0,181.0,740.0,Rear Wheel Drive,5,44990.0,40985.0,Kia,76641.95000000001,2,4,2,2,3,3,5
